Institucion,Area,Sexo,Cargo,Tiempo_Trabajo_Anios,Sueldo_Promedio_Institucion,Sueldo_Bruto,Predicciones
SALUD,Medicina,M,Fisioterapeuta,34,59668,90280,22118.425806451607
CODEPESCA,Pesca,F,Ingeniero,16,39940,36517,41310.71708333333
UASD,Educación,M,Profesor,9,36093,44431,32249.510871934617
MOPC,Infraestructura,F,Arquitecto,11,47535,82269,33419.05843137255
MJ,Justicia,M,Abogada,4,30011,95457,32249.510871934617
SALUD,Medicina,F,Fisioterapeuta,23,53037,99251,27908.708181818176
CODEPESCA,Pesca,M,Ingeniero,24,43270,58684,22859.42391304348
UASD,Educación,F,Profesor,23,48767,83418,27908.708181818176
MOPC,Infraestructura,M,Arquitecto,24,45214,78938,22859.42391304348
MJ,Justicia,F,Abogada,29,51271,45299,22859.42391304348
SALUD,Medicina,M,Fisioterapeuta,30,54427,83749,22118.425806451607
CODEPESCA,Pesca,F,Ingeniero,39,50692,69162,25020.124635416654
UASD,Educación,M,Profesor,13,30884,70770,32249.510871934617
MOPC,Infraestructura,F,Arquitecto,39,50301,45507,25020.124635416654
MJ,Justicia,M,Abogada,8,50749,23112,32249.510871934617
SALUD,Medicina,F,Fisioterapeuta,8,48904,44763,33419.05843137255
CODEPESCA,Pesca,M,Ingeniero,31,54780,68230,22118.425806451607
UASD,Educación,F,Profesor,15,30353,57670,49106.808285841515
MOPC,Infraestructura,M,Arquitecto,31,38497,33754,22118.425806451607
MJ,Justicia,F,Abogada,1,54958,74145,33419.05843137255
SALUD,Medicina,M,Fisioterapeuta,14,44452,78176,35310.59222222223
CODEPESCA,Pesca,F,Ingeniero,33,55769,93576,22859.42391304348
UASD,Educación,M,Profesor,10,32478,49654,32249.510871934617
MOPC,Infraestructura,F,Arquitecto,3,43428,46513,33419.05843137255
MJ,Justicia,M,Abogada,28,38504,99907,22118.425806451607
SALUD,Medicina,F,Fisioterapeuta,10,51510,82106,33419.05843137255
CODEPESCA,Pesca,M,Ingeniero,4,58056,90572,32249.510871934617
UASD,Educación,F,Profesor,34,39839,42494,22859.42391304348
MOPC,Infraestructura,M,Arquitecto,31,56408,89667,22118.425806451607
MJ,Justicia,F,Abogada,28,53073,32533,22859.42391304348
SALUD,Medicina,M,Fisioterapeuta,32,58616,21727,22118.425806451607
CODEPESCA,Pesca,F,Ingeniero,38,56712,88066,25020.124635416654
UASD,Educación,M,Profesor,23,57748,46959,25960.6631481482
MOPC,Infraestructura,F,Arquitecto,22,51355,51630,27908.708181818176
MJ,Justicia,M,Abogada,6,35150,58859,32249.510871934617
SALUD,Medicina,F,Fisioterapeuta,28,46561,81447,22859.42391304348
CODEPESCA,Pesca,M,Ingeniero,31,45620,32560,22118.425806451607
UASD,Educación,F,Profesor,32,40008,44139,22859.42391304348
