Institucion,Area,Sexo,Cargo,Tiempo_Trabajo_Anios,Sueldo_Promedio_Institucion,Sueldo_Bruto,Predicciones
SALUD,Medicina,M,Fisioterapeuta,34,59668,90280,-2050.7127013945583
CODEPESCA,Pesca,F,Ingeniero,16,39940,36517,-2052.2564414169756
UASD,Educación,M,Profesor,9,36093,44431,-2056.558544689381
MOPC,Infraestructura,F,Arquitecto,11,47535,82269,-2051.908260596721
MJ,Justicia,M,Abogada,4,30011,95457,-2057.896211864844
SALUD,Medicina,F,Fisioterapeuta,23,53037,99251,-2049.8188983718414
CODEPESCA,Pesca,M,Ingeniero,24,43270,58684,-2053.9099250789536
UASD,Educación,F,Profesor,23,48767,83418,-2050.3452251205226
MOPC,Infraestructura,M,Arquitecto,24,45214,78938,-2053.6703046575403
MJ,Justicia,F,Abogada,29,51271,45299,-2049.330989606894
SALUD,Medicina,M,Fisioterapeuta,30,54427,83749,-2051.8291075146603
CODEPESCA,Pesca,F,Ingeniero,39,50692,69162,-2048.226376979258
UASD,Educación,M,Profesor,13,30884,70770,-2056.730221595911
MOPC,Infraestructura,F,Arquitecto,39,50301,45507,-2048.2745722389145
MJ,Justicia,M,Abogada,8,50749,23112,-2054.8696217577835
SALUD,Medicina,F,Fisioterapeuta,8,48904,44763,-2052.0923098738413
CODEPESCA,Pesca,M,Ingeniero,31,54780,68230,-2051.6679980877207
UASD,Educación,F,Profesor,15,30353,57670,-2053.555747845631
MOPC,Infraestructura,M,Arquitecto,31,38497,33754,-2053.6750656401273
MJ,Justicia,F,Abogada,1,54958,74145,-2052.1692712880636
SALUD,Medicina,M,Fisioterapeuta,14,44452,78176,-2054.9402110017995
CODEPESCA,Pesca,F,Ingeniero,33,55769,93576,-2048.3061668062933
UASD,Educación,M,Profesor,10,32478,49654,-2056.8865370279605
MOPC,Infraestructura,F,Arquitecto,3,43428,46513,-2053.355280559913
MJ,Justicia,M,Abogada,28,38504,99907,-2054.0269971260773
SALUD,Medicina,F,Fisioterapeuta,10,51510,82106,-2051.535894106028
CODEPESCA,Pesca,M,Ingeniero,4,58056,90572,-2054.439342153658
UASD,Educación,F,Profesor,34,39839,42494,-2050.15212493176
MOPC,Infraestructura,M,Arquitecto,31,56408,89667,-2051.46732831094
MJ,Justicia,F,Abogada,28,53073,32533,-2049.2264704288204
SALUD,Medicina,M,Fisioterapeuta,32,58616,21727,-2051.077568739081
CODEPESCA,Pesca,F,Ingeniero,38,56712,88066,-2047.6019406522528
UASD,Educación,M,Profesor,23,57748,46959,-2052.2429427003453
MOPC,Infraestructura,F,Arquitecto,22,51355,51630,-2050.143822377001
MJ,Justicia,M,Abogada,6,35150,58859,-2057.027574632298
SALUD,Medicina,F,Fisioterapeuta,28,46561,81447,-2050.029149535943
CODEPESCA,Pesca,M,Ingeniero,31,45620,32560,-2052.797073735945
UASD,Educación,F,Profesor,32,40008,44139,-2050.366489943697
MOPC,Infraestructura,M,Arquitecto,19,54388,99235,-2053.1274938756537
MJ,Justicia,F,Abogada,25,53158,33403,-2049.568787515146
SALUD,Medicina,M,Fisioterapeuta,39,45286,29567,-2051.897458243689
