Institucion,Area,Sexo,Cargo,Tiempo_Trabajo_Anios,Sueldo_Promedio_Institucion,Sueldo_Bruto,Predicciones
SALUD,Medicina,M,Fisioterapeuta,34,59668,90280,12661.989999999993
CODEPESCA,Pesca,F,Ingeniero,16,39940,36517,12661.990000000002
UASD,Educación,M,Profesor,9,36093,44431,12661.99
MOPC,Infraestructura,F,Arquitecto,11,47535,82269,12661.99
MJ,Justicia,M,Abogada,4,30011,95457,12661.64
SALUD,Medicina,F,Fisioterapeuta,23,53037,99251,12661.989999999993
CODEPESCA,Pesca,M,Ingeniero,24,43270,58684,12661.989999999993
UASD,Educación,F,Profesor,23,48767,83418,12661.989999999993
MOPC,Infraestructura,M,Arquitecto,24,45214,78938,12661.989999999993
MJ,Justicia,F,Abogada,29,51271,45299,12661.989999999993
SALUD,Medicina,M,Fisioterapeuta,30,54427,83749,12661.989999999993
CODEPESCA,Pesca,F,Ingeniero,39,50692,69162,12661.989999999993
UASD,Educación,M,Profesor,13,30884,70770,12661.99
MOPC,Infraestructura,F,Arquitecto,39,50301,45507,12661.989999999993
MJ,Justicia,M,Abogada,8,50749,23112,12661.99
SALUD,Medicina,F,Fisioterapeuta,8,48904,44763,12661.99
CODEPESCA,Pesca,M,Ingeniero,31,54780,68230,12661.989999999993
UASD,Educación,F,Profesor,15,30353,57670,12661.990000000002
MOPC,Infraestructura,M,Arquitecto,31,38497,33754,12661.989999999993
MJ,Justicia,F,Abogada,1,54958,74145,12661.64
SALUD,Medicina,M,Fisioterapeuta,14,44452,78176,12661.990000000002
CODEPESCA,Pesca,F,Ingeniero,33,55769,93576,12661.989999999993
UASD,Educación,M,Profesor,10,32478,49654,12661.99
MOPC,Infraestructura,F,Arquitecto,3,43428,46513,12661.64
MJ,Justicia,M,Abogada,28,38504,99907,12661.989999999993
SALUD,Medicina,F,Fisioterapeuta,10,51510,82106,12661.99
CODEPESCA,Pesca,M,Ingeniero,4,58056,90572,12661.64
UASD,Educación,F,Profesor,34,39839,42494,12661.989999999993
MOPC,Infraestructura,M,Arquitecto,31,56408,89667,12661.989999999993
MJ,Justicia,F,Abogada,28,53073,32533,12661.989999999993
SALUD,Medicina,M,Fisioterapeuta,32,58616,21727,12661.989999999993
CODEPESCA,Pesca,F,Ingeniero,38,56712,88066,12661.989999999993
UASD,Educación,M,Profesor,23,57748,46959,12661.989999999993
MOPC,Infraestructura,F,Arquitecto,22,51355,51630,12661.989999999993
MJ,Justicia,M,Abogada,6,35150,58859,12661.64
SALUD,Medicina,F,Fisioterapeuta,28,46561,81447,12661.989999999993
CODEPESCA,Pesca,M,Ingeniero,31,45620,32560,12661.989999999993
UASD,Educación,F,Profesor,32,40008,44139,12661.989999999993
MOPC,Infraestructura,M,Arquitecto,19,54388,99235,12661.99
MJ,Justicia,F,Abogada,25,53158,33403,12661.989999999993
