Institucion,Area,Sexo,Cargo,Tiempo_Trabajo_Anios,Sueldo_Promedio_Institucion,Sueldo_Bruto,Predicciones
SALUD,Medicina,M,Fisioterapeuta,34,59668,90280,-1951.2730147065922
CODEPESCA,Pesca,F,Ingeniero,16,39940,36517,252.10422640243843
UASD,Educación,M,Profesor,9,36093,44431,-2426.893612579312
MOPC,Infraestructura,F,Arquitecto,11,47535,82269,158.43431353683022
MJ,Justicia,M,Abogada,4,30011,95457,-2522.1792187965134
SALUD,Medicina,F,Fisioterapeuta,23,53037,99251,386.04538022282327
CODEPESCA,Pesca,M,Ingeniero,24,43270,58684,-2142.3443986442962
UASD,Educación,F,Profesor,23,48767,83418,385.5409559622907
MOPC,Infraestructura,M,Arquitecto,24,45214,78938,-2142.114749753787
MJ,Justicia,F,Abogada,29,51271,45299,499.31731066539226
SALUD,Medicina,M,Fisioterapeuta,30,54427,83749,-2027.5458464877079
CODEPESCA,Pesca,F,Ingeniero,39,50692,69162,688.3831651719344
UASD,Educación,M,Profesor,13,30884,70770,-2351.85526171683
MOPC,Infraestructura,F,Arquitecto,39,50301,45507,688.3369755031127
MJ,Justicia,M,Abogada,8,50749,23112,-2444.075693159315
SALUD,Medicina,F,Fisioterapeuta,8,48904,44763,101.85576053817306
CODEPESCA,Pesca,M,Ingeniero,31,54780,68230,-2008.5907205385402
UASD,Educación,F,Profesor,15,30353,57670,232.0582682233509
MOPC,Infraestructura,M,Arquitecto,31,38497,33754,-2010.5142662608473
MJ,Justicia,F,Abogada,1,54958,74145,-29.82304456711603
SALUD,Medicina,M,Fisioterapeuta,14,44452,78176,-2331.3390194672083
CODEPESCA,Pesca,F,Ingeniero,33,55769,93576,575.5023702625324
UASD,Educación,M,Profesor,10,32478,49654,-2408.407234982789
MOPC,Infraestructura,F,Arquitecto,3,43428,46513,6.641742401037732
MJ,Justicia,M,Abogada,28,38504,99907,-2067.2537152414357
SALUD,Medicina,F,Fisioterapeuta,10,51510,82106,139.9904635126238
CODEPESCA,Pesca,M,Ingeniero,4,58056,90572,-2518.866202780908
UASD,Educación,F,Profesor,34,39839,42494,592.5339504893931
MOPC,Infraestructura,M,Arquitecto,31,56408,89667,-2008.3984014059533
MJ,Justicia,F,Abogada,28,53073,32533,480.6167594893972
SALUD,Medicina,M,Fisioterapeuta,32,58616,21727,-1989.2241403272096
CODEPESCA,Pesca,F,Ingeniero,38,56712,88066,670.1808953849152
UASD,Educación,M,Profesor,23,57748,46959,-2159.547506746167
MOPC,Infraestructura,F,Arquitecto,22,51355,51630,366.9332566525202
MJ,Justicia,M,Abogada,6,35150,58859,-2483.7452870979578
SALUD,Medicina,F,Fisioterapeuta,28,46561,81447,479.84748295904876
CODEPESCA,Pesca,M,Ingeniero,31,45620,32560,-2009.6728109897062
UASD,Educación,F,Profesor,32,40008,44139,554.7270642182159
MOPC,Infraestructura,M,Arquitecto,19,54388,99235,-2235.5981319619286
MJ,Justicia,F,Abogada,25,53158,33403,423.88652481614434
SALUD,Medicina,M,Fisioterapeuta,39,45286,29567,-1858.4048647112968
CODEPESCA,Pesca,F,Ingeniero,25,40778,89319,422.4240488570359
UASD,Educación,M,Profesor,16,33325,56804,-2294.826625244489
MOPC,Infraestructura,F,Arquitecto,33,59952,52693,575.9965170264218
MJ,Justicia,M,Abogada,31,53010,67317,-2008.7998144357634
SALUD,Medicina,F,Fisioterapeuta,7,36514,67860,81.47867795574302
CODEPESCA,Pesca,M,Ingeniero,23,56863,71230,-2159.6520536947787
UASD,Educación,F,Profesor,25,36284,69239,421.8931629959509
MOPC,Infraestructura,M,Arquitecto,28,55142,67817,-2065.2882326075382
MJ,Justicia,F,Abogada,24,46328,60440,404.16625696171445
SALUD,Medicina,M,Fisioterapeuta,12,31874,69224,-2370.6517361948277
CODEPESCA,Pesca,F,Ingeniero,5,56655,99882,46.0311268909723
UASD,Educación,M,Profesor,37,30449,64801,-1897.9844419552023
MOPC,Infraestructura,F,Arquitecto,7,40803,96660,81.9853467270367
MJ,Justicia,M,Abogada,37,59061,24619,-1894.6044450131985
SALUD,Medicina,F,Fisioterapeuta,34,40978,26868,592.6685030029169
CODEPESCA,Pesca,M,Ingeniero,14,51839,24227,-2330.4663773097013
UASD,Educación,F,Profesor,22,37194,82007,365.26038734259015
MOPC,Infraestructura,M,Arquitecto,21,39885,62143,-2199.4845518618226
MJ,Justicia,F,Abogada,29,46021,86036,498.6971169024424
SALUD,Medicina,M,Fisioterapeuta,6,50372,63632,-2481.9470795818393
CODEPESCA,Pesca,F,Ingeniero,15,52185,76293,234.63732922005968
UASD,Educación,M,Profesor,1,44655,99919,-2577.1895675659975
MOPC,Infraestructura,F,Arquitecto,27,42226,48510,460.4219548072017
MJ,Justicia,M,Abogada,38,50826,40160,-1876.6638379280712
SALUD,Medicina,F,Fisioterapeuta,20,33263,54713,326.9691592755854
CODEPESCA,Pesca,M,Ingeniero,34,54524,66074,-1951.8806864621379
UASD,Educación,F,Profesor,7,59287,24475,84.16890130120146
MOPC,Infraestructura,M,Arquitecto,7,48919,54175,-2463.205300287126
MJ,Justicia,F,Abogada,31,46376,25040,536.5659044177693
SALUD,Medicina,M,Fisioterapeuta,12,43870,88783,-2369.2346229795235
CODEPESCA,Pesca,F,Ingeniero,5,37347,56028,43.75023142906076
UASD,Educación,M,Profesor,4,45449,63302,-2520.355494737005
MOPC,Infraestructura,F,Arquitecto,30,37697,31364,516.6272102266357
MJ,Justicia,M,Abogada,7,33505,75304,-2465.026189175147
SALUD,Medicina,F,Fisioterapeuta,19,40128,97253,308.8667111513647
CODEPESCA,Pesca,M,Ingeniero,8,42570,52628,-2445.041895975918
UASD,Educación,F,Profesor,16,52489,86806,253.58666669410655
MOPC,Infraestructura,M,Arquitecto,4,46030,56218,-2520.2868599605717
MJ,Justicia,F,Abogada,11,34258,45356,156.8658730433664
SALUD,Medicina,M,Fisioterapeuta,12,43998,96540,-2369.219502064922
CODEPESCA,Pesca,F,Ingeniero,35,38450,87418,611.2832902414068
UASD,Educación,M,Profesor,33,31869,63728,-1973.4703955163163
MOPC,Infraestructura,F,Arquitecto,3,38960,94776,6.113927975731087
MJ,Justicia,M,Abogada,2,42300,59728,-2558.5543434663664
SALUD,Medicina,F,Fisioterapeuta,21,32363,32841,345.77626564666247
CODEPESCA,Pesca,M,Ingeniero,10,48639,38931,-2406.498101382211
UASD,Educación,F,Profesor,28,36449,72717,478.65293070553474
MOPC,Infraestructura,M,Arquitecto,28,53260,72437,-2065.5105573050378
MJ,Justicia,F,Abogada,26,50802,89339,442.52163078363003
SALUD,Medicina,M,Fisioterapeuta,29,59743,87917,-2045.8312813050352
CODEPESCA,Pesca,F,Ingeniero,13,41786,77812,195.58202243710076
UASD,Educación,M,Profesor,24,53190,45092,-2141.1725277626842
MOPC,Infraestructura,F,Arquitecto,2,53815,72363,-11.044644307352598
MJ,Justicia,M,Abogada,12,32884,45078,-2370.5324227280507
SALUD,Medicina,F,Fisioterapeuta,11,36270,59640,157.10355491975784
CODEPESCA,Pesca,M,Ingeniero,32,39261,31531,-1991.5105879999514
UASD,Educación,F,Profesor,38,33785,53512,667.4724796890769
MOPC,Infraestructura,M,Arquitecto,3,30687,71627,-2541.012786768143
MJ,Justicia,F,Abogada,32,51242,25497,556.0541607387833
SALUD,Medicina,M,Fisioterapeuta,9,50275,67757,-2425.2182624943302
CODEPESCA,Pesca,F,Ingeniero,39,43164,86568,687.4938663819369
UASD,Educación,M,Profesor,39,45813,57107,-1858.3426090707108
MOPC,Infraestructura,F,Arquitecto,34,49999,44792,593.7341730858827
MJ,Justicia,M,Abogada,24,57806,47045,-2140.6272297798696
SALUD,Medicina,F,Fisioterapeuta,24,35895,26655,402.93378428955145
CODEPESCA,Pesca,M,Ingeniero,4,58312,62733,-2518.835960951705
UASD,Educación,F,Profesor,39,38301,66069,686.9193897592274
MOPC,Infraestructura,M,Arquitecto,38,56250,84712,-1876.0230891718352
MJ,Justicia,F,Abogada,21,53961,27511,348.3276837213655
SALUD,Medicina,M,Fisioterapeuta,9,55717,70439,-2424.575387359478
CODEPESCA,Pesca,F,Ingeniero,7,52016,32619,83.30996247255223
UASD,Educación,M,Profesor,6,58006,88493,-2481.0452587844375
MOPC,Infraestructura,F,Arquitecto,19,37643,22479,308.5731527702351
MJ,Justicia,M,Abogada,8,48400,57690,-2444.3531855686806
SALUD,Medicina,F,Fisioterapeuta,31,57928,31725,537.9305669605495
CODEPESCA,Pesca,M,Ingeniero,29,44081,32108,-2047.6814669650962
UASD,Educación,F,Profesor,31,52304,46512,537.2661917752487
MOPC,Infraestructura,M,Arquitecto,33,51507,79855,-1971.150516446448
MJ,Justicia,F,Abogada,9,33572,48238,118.95798378793737
SALUD,Medicina,M,Fisioterapeuta,30,31248,84529,-2030.2840314841678
CODEPESCA,Pesca,F,Ingeniero,8,56652,95173,102.77104840014175
UASD,Educación,M,Profesor,17,45612,22288,-2274.461710273027
MOPC,Infraestructura,F,Arquitecto,13,59754,52276,197.70462082427844
MJ,Justicia,M,Abogada,20,49639,66118,-2217.245716218203
SALUD,Medicina,F,Fisioterapeuta,31,41939,68862,536.0417520889677
CODEPESCA,Pesca,M,Ingeniero,36,53637,62654,-1914.1586190713028
UASD,Educación,F,Profesor,8,52236,79082,102.2493768463919
MOPC,Infraestructura,M,Arquitecto,3,55328,38509,-2538.1018925752196
MJ,Justicia,F,Abogada,8,58669,88452,103.00932093725982
SALUD,Medicina,M,Fisioterapeuta,29,56182,67349,-2046.2519498745332
CODEPESCA,Pesca,F,Ingeniero,15,57039,95602,235.2107426534613
UASD,Educación,M,Profesor,19,48299,78309,-2236.317438594805
MOPC,Infraestructura,F,Arquitecto,39,38632,63080,686.9584914993295
MJ,Justicia,M,Abogada,6,48356,41806,-2482.185233986812
SALUD,Medicina,F,Fisioterapeuta,8,56790,47098,102.78735063619644
CODEPESCA,Pesca,M,Ingeniero,27,52739,41035,-2084.48552945462
UASD,Educación,F,Profesor,2,35556,81136,-13.201619148819475
MOPC,Infraestructura,M,Arquitecto,36,46988,78828,-1914.9440797055609
MJ,Justicia,F,Abogada,6,43002,72854,63.33169401273523
SALUD,Medicina,M,Fisioterapeuta,34,44382,97424,-1953.0787826800115
CODEPESCA,Pesca,F,Ingeniero,2,33890,80387,-13.398427302928894
UASD,Educación,M,Profesor,38,59594,32204,-1875.6280552778721
MOPC,Infraestructura,F,Arquitecto,17,32055,70349,270.0861797384289
MJ,Justicia,M,Abogada,23,49238,26259,-2160.552811302872
SALUD,Medicina,F,Fisioterapeuta,29,40185,77379,498.0076977023328
CODEPESCA,Pesca,M,Ingeniero,1,38772,74979,-2577.884538976937
UASD,Educación,F,Profesor,23,52221,53835,385.948984392239
MOPC,Infraestructura,M,Arquitecto,30,33170,54081,-2030.0569815008557
MJ,Justicia,F,Abogada,12,58239,20455,178.61222532224446
SALUD,Medicina,M,Fisioterapeuta,37,41645,83700,-1896.6618344561575
CODEPESCA,Pesca,F,Ingeniero,28,32184,54568,478.1490971057288
UASD,Educación,M,Profesor,36,43531,99059,-1915.352462531945
MOPC,Infraestructura,F,Arquitecto,18,45074,54614,290.53756744026765
MJ,Justicia,M,Abogada,38,56844,28163,-1875.9529186775126
SALUD,Medicina,F,Fisioterapeuta,32,31367,96571,553.7062843504731
CODEPESCA,Pesca,M,Ingeniero,5,40412,28847,-2502.0371010511326
UASD,Educación,F,Profesor,21,48378,60621,347.66815195402285
MOPC,Infraestructura,M,Arquitecto,33,50678,33592,-1971.2484479949217
MJ,Justicia,F,Abogada,23,42292,40943,384.77605032131925
SALUD,Medicina,M,Fisioterapeuta,15,53298,72972,-2311.3805972078053
CODEPESCA,Pesca,F,Ingeniero,13,57390,29188,197.42535643273303
UASD,Educación,M,Profesor,15,47453,51273,-2312.071079597223
MOPC,Infraestructura,F,Arquitecto,16,30719,34626,251.01492989040787
MJ,Justicia,M,Abogada,25,38388,96195,-2124.0076944758985
SALUD,Medicina,F,Fisioterapeuta,29,45346,24370,498.6173777043488
CODEPESCA,Pesca,M,Ingeniero,5,31117,68311,-2503.135139341917
UASD,Educación,F,Profesor,35,33991,64220,610.7565390054081
MOPC,Infraestructura,M,Arquitecto,28,33343,64994,-2067.8633952434516
MJ,Justicia,F,Abogada,33,48475,87503,574.6407143945407
SALUD,Medicina,M,Fisioterapeuta,6,46126,36756,-2482.4486686708838
CODEPESCA,Pesca,F,Ingeniero,32,48733,32308,555.7577671861659
UASD,Educación,M,Profesor,34,49461,98707,-1952.478789513912
MOPC,Infraestructura,F,Arquitecto,22,46479,61189,366.3572443119214
MJ,Justicia,M,Abogada,20,36508,58592,-2218.7969094184496
SALUD,Medicina,F,Fisioterapeuta,35,42543,81533,611.7668051122171
CODEPESCA,Pesca,M,Ingeniero,36,54740,46734,-1914.0283193150108
UASD,Educación,F,Profesor,33,54209,76283,575.3180841158273
MOPC,Infraestructura,M,Arquitecto,30,55882,86165,-2027.3739642162618
MJ,Justicia,F,Abogada,26,34049,72872,440.5425629530207
SALUD,Medicina,M,Fisioterapeuta,15,31007,56589,-2314.013880859218
CODEPESCA,Pesca,F,Ingeniero,21,58863,66607,348.90676749774263
UASD,Educación,M,Profesor,17,31518,91437,-2276.1266647292205
MOPC,Infraestructura,F,Arquitecto,16,53673,30460,253.72653515416994
MJ,Justicia,M,Abogada,13,35719,24092,-2351.2840927941893
SALUD,Medicina,F,Fisioterapeuta,29,46604,45789,498.7659879431661
CODEPESCA,Pesca,M,Ingeniero,10,57206,77362,-2405.4860632932223
UASD,Educación,F,Profesor,27,41448,32623,460.33004799813983
MOPC,Infraestructura,M,Arquitecto,38,35104,67904,-1878.5211115168518
MJ,Justicia,F,Abogada,34,52612,28121,594.0428523816138
SALUD,Medicina,M,Fisioterapeuta,38,37519,67598,-1878.2358223858946
CODEPESCA,Pesca,F,Ingeniero,5,43564,55072,44.4846589765387
UASD,Educación,M,Profesor,19,56817,27080,-2235.3111889809375
MOPC,Infraestructura,F,Arquitecto,39,57020,86233,689.1307053875432
MJ,Justicia,M,Abogada,23,31503,86585,-2162.6478849001896
SALUD,Medicina,F,Fisioterapeuta,6,45983,98284,63.683845937945364
CODEPESCA,Pesca,M,Ingeniero,37,57849,49224,-1894.747621173331
UASD,Educación,F,Profesor,27,46785,28614,460.96051925773287
MOPC,Infraestructura,M,Arquitecto,35,39807,92123,-1934.7058119429994
MJ,Justicia,F,Abogada,33,45266,81420,574.2616283401968
SALUD,Medicina,M,Fisioterapeuta,16,31120,64895,-2295.087106624928
CODEPESCA,Pesca,F,Ingeniero,25,32567,96382,421.45406581178236
UASD,Educación,M,Profesor,21,50258,84426,-2198.259167118379
MOPC,Infraestructura,F,Arquitecto,8,33217,48745,100.00262157447895
MJ,Justicia,M,Abogada,14,32009,21707,-2332.808937751472
SALUD,Medicina,F,Fisioterapeuta,14,40749,70542,214.37294470426846
CODEPESCA,Pesca,M,Ingeniero,6,53423,49757,-2481.586658406456
UASD,Educación,F,Profesor,6,59456,49392,65.2754403318927
MOPC,Infraestructura,M,Arquitecto,34,56218,76944,-1951.6805706079595
MJ,Justicia,F,Abogada,38,30407,56385,667.073429302173
SALUD,Medicina,M,Fisioterapeuta,21,30574,85362,-2200.584480266932
CODEPESCA,Pesca,F,Ingeniero,22,46020,95081,366.3030216572178
UASD,Educación,M,Profesor,38,46433,38095,-1877.1827924424788
MOPC,Infraestructura,F,Arquitecto,28,59580,31871,481.38544535901906
MJ,Justicia,M,Abogada,11,41228,71047,-2388.460153409337
SALUD,Medicina,F,Fisioterapeuta,3,44113,91075,6.722662920584526
CODEPESCA,Pesca,M,Ingeniero,15,53653,86844,-2311.3386602962155
UASD,Educación,F,Profesor,3,37032,64793,5.886169199546828
MOPC,Infraestructura,M,Arquitecto,15,33318,63695,-2313.7408774713745
MJ,Justicia,F,Abogada,9,58591,33508,121.91353193179302
SALUD,Medicina,M,Fisioterapeuta,39,36749,69233,-1859.4133588359255
CODEPESCA,Pesca,F,Ingeniero,3,37305,24943,5.918419275220231
UASD,Educación,M,Profesor,25,49881,72015,-2122.650001729692
MOPC,Infraestructura,F,Arquitecto,36,56937,77864,632.380624513876
MJ,Justicia,M,Abogada,12,41683,60336,-2369.4929779813465
SALUD,Medicina,F,Fisioterapeuta,11,40128,81761,157.559308736417
CODEPESCA,Pesca,M,Ingeniero,26,43310,70053,-2104.512822754746
UASD,Educación,F,Profesor,36,39503,55789,630.3211086923012
MOPC,Infraestructura,M,Arquitecto,12,44052,86562,-2369.2131229290744
MJ,Justicia,F,Abogada,18,41973,91666,290.1712396576186
SALUD,Medicina,M,Fisioterapeuta,17,52558,41526,-2273.641164391608
CODEPESCA,Pesca,F,Ingeniero,36,48652,44342,631.4018996898685
UASD,Educación,M,Profesor,1,49906,95402,-2576.5692556709023
MOPC,Infraestructura,F,Arquitecto,16,51773,75606,253.50208407805474
MJ,Justicia,M,Abogada,36,55507,51783,-1913.9377119595474
SALUD,Medicina,F,Fisioterapeuta,21,35013,24853,346.0893158317705
CODEPESCA,Pesca,M,Ingeniero,30,40939,20672,-2029.1392128638354
UASD,Educación,F,Profesor,15,34417,30807,232.53835726194674
MOPC,Infraestructura,M,Arquitecto,7,50865,80843,-2462.975415132326
MJ,Justicia,F,Abogada,24,35412,25748,402.8767264633601
SALUD,Medicina,M,Fisioterapeuta,35,54856,29700,-1932.9280412880216
CODEPESCA,Pesca,F,Ingeniero,17,50700,56533,272.28875358799075
UASD,Educación,M,Profesor,32,51917,88648,-1990.015507568734
MOPC,Infraestructura,F,Arquitecto,18,50881,36800,291.22356080816286
MJ,Justicia,M,Abogada,11,45742,76467,-2387.926904905346
SALUD,Medicina,F,Fisioterapeuta,36,32230,76849,629.4619335993614
CODEPESCA,Pesca,M,Ingeniero,25,50888,31156,-2122.531042659351
UASD,Educación,F,Profesor,8,54230,49204,102.48493234416753
MOPC,Infraestructura,M,Arquitecto,38,50060,26031,-1876.7543271513891
MJ,Justicia,F,Abogada,18,46139,98233,290.6633781750375
SALUD,Medicina,M,Fisioterapeuta,9,53107,50673,-2424.883712258773
CODEPESCA,Pesca,F,Ingeniero,14,49962,72162,215.46129615913645
UASD,Educación,M,Profesor,1,58141,38051,-2575.596437454161
MOPC,Infraestructura,F,Arquitecto,1,52966,82146,-30.058363800601
MJ,Justicia,M,Abogada,19,56890,67695,-2235.302565334329
SALUD,Medicina,F,Fisioterapeuta,25,37333,91768,422.01708361639555
CODEPESCA,Pesca,M,Ingeniero,4,39222,22961,-2521.091103605936
UASD,Educación,F,Profesor,32,42971,63004,555.0770897648102
MOPC,Infraestructura,M,Arquitecto,8,40013,91009,-2445.3439598715113
MJ,Justicia,F,Abogada,23,39103,27950,384.3993269098817
SALUD,Medicina,M,Fisioterapeuta,20,50548,58983,-2217.1383340981038
CODEPESCA,Pesca,F,Ingeniero,26,35345,89651,440.6956622133603
UASD,Educación,M,Profesor,37,42972,91584,-1896.5050730993125
MOPC,Infraestructura,F,Arquitecto,21,42931,96633,347.0246861584442
MJ,Justicia,M,Abogada,18,42445,31703,-2255.922409475399
SALUD,Medicina,F,Fisioterapeuta,18,51574,37341,291.30542638487225
CODEPESCA,Pesca,M,Ingeniero,34,48593,75393,-1952.581328216053
UASD,Educación,F,Profesor,13,32387,73009,194.47169840320254
MOPC,Infraestructura,M,Arquitecto,22,30364,50430,-2181.695862715582
MJ,Justicia,F,Abogada,23,45343,61132,385.1364714967021
SALUD,Medicina,M,Fisioterapeuta,5,44112,35025,-2501.6000121134343
CODEPESCA,Pesca,F,Ingeniero,6,59402,35618,65.26906119604519
UASD,Educación,M,Profesor,29,34472,40870,-2048.8165987495127
MOPC,Infraestructura,F,Arquitecto,11,47550,85065,158.43608551901008
MJ,Justicia,M,Abogada,12,51861,55358,-2368.290629006241
SALUD,Medicina,F,Fisioterapeuta,38,37504,26646,667.911813137536
CODEPESCA,Pesca,M,Ingeniero,23,59837,94040,-2159.300728694586
UASD,Educación,F,Profesor,26,53091,47901,442.79203526427614
MOPC,Infraestructura,M,Arquitecto,13,48181,47091,-2349.811929999164
MJ,Justicia,F,Abogada,25,42918,42237,422.67685164802884
SALUD,Medicina,M,Fisioterapeuta,27,58277,43930,-2083.831313633817
CODEPESCA,Pesca,F,Ingeniero,1,49745,51640,-30.43886744068891
UASD,Educación,M,Profesor,25,34309,33523,-2124.4895554966743
MOPC,Infraestructura,F,Arquitecto,21,33776,73642,345.943186368005
MJ,Justicia,M,Abogada,29,40946,33097,-2048.051811240686
SALUD,Medicina,F,Fisioterapeuta,7,32500,56452,81.00449552441336
CODEPESCA,Pesca,M,Ingeniero,2,43649,92911,-2558.3949832023245
UASD,Educación,F,Profesor,31,53723,79511,537.4338212894631
MOPC,Infraestructura,M,Arquitecto,29,37351,49999,-2048.4764963031253
MJ,Justicia,F,Abogada,2,43998,92135,-12.204347577996145
SALUD,Medicina,M,Fisioterapeuta,8,30375,30475,-2446.4825174881416
CODEPESCA,Pesca,F,Ingeniero,26,46666,99280,442.0330362305708
UASD,Educación,M,Profesor,3,45515,68196,-2539.261123317282
MOPC,Infraestructura,F,Arquitecto,22,36172,91679,365.13965629006924
MJ,Justicia,M,Abogada,33,51738,40739,-1971.1232279208784
SALUD,Medicina,F,Fisioterapeuta,20,38202,67978,327.5526139413396
CODEPESCA,Pesca,M,Ingeniero,11,44603,71793,-2388.06145741887
UASD,Educación,F,Profesor,39,37041,36042,686.7705432561195
MOPC,Infraestructura,M,Arquitecto,39,53597,83454,-1857.4230684515105
MJ,Justicia,F,Abogada,1,44732,71100,-31.031063885197
SALUD,Medicina,M,Fisioterapeuta,24,34108,96106,-2143.4267253597527
CODEPESCA,Pesca,F,Ingeniero,2,50597,68829,-11.42479355100454
UASD,Educación,M,Profesor,12,35056,56373,-2370.275839708407
MOPC,Infraestructura,F,Arquitecto,25,38769,41044,422.18672137708046
MJ,Justicia,M,Abogada,2,40826,80606,-2558.7284702485736
SALUD,Medicina,F,Fisioterapeuta,13,42901,32680,195.71373977913677
CODEPESCA,Pesca,M,Ingeniero,12,49375,28971,-2368.584305519516
UASD,Educación,F,Profesor,26,50819,69182,442.5236390301005
MOPC,Infraestructura,M,Arquitecto,2,56037,26782,-2556.9315621860537
MJ,Justicia,F,Abogada,36,34938,64049,629.7818354488982
SALUD,Medicina,M,Fisioterapeuta,3,48038,77335,-2538.9630759146303
CODEPESCA,Pesca,F,Ingeniero,35,32626,39212,610.5952886270411
UASD,Educación,M,Profesor,28,56100,92616,-2065.1750620123184
MOPC,Infraestructura,F,Arquitecto,18,45914,47804,290.6367984423396
MJ,Justicia,M,Abogada,16,48143,33182,-2293.0761431150813
SALUD,Medicina,F,Fisioterapeuta,13,59258,61171,197.64602728019784
CODEPESCA,Pesca,M,Ingeniero,15,47030,81117,-2312.121049494695
UASD,Educación,F,Profesor,32,55541,83420,556.5620108315302
MOPC,Infraestructura,M,Arquitecto,36,33973,58771,-1916.4815695769498
MJ,Justicia,F,Abogada,35,30742,52384,610.3727276652512
SALUD,Medicina,M,Fisioterapeuta,24,43045,96102,-2142.370978376994
CODEPESCA,Pesca,F,Ingeniero,18,31263,21127,288.9060443812009
UASD,Educación,M,Profesor,26,50550,79105,-2103.657546022602
MOPC,Infraestructura,F,Arquitecto,8,46566,65272,101.57956758240607
MJ,Justicia,M,Abogada,39,52507,91925,-1857.5518324899135
SALUD,Medicina,F,Fisioterapeuta,21,36995,61494,346.32345374380225
CODEPESCA,Pesca,M,Ingeniero,30,52134,97638,-2027.8167234969355
UASD,Educación,F,Profesor,26,55106,58434,443.03007153710354
MOPC,Infraestructura,M,Arquitecto,2,59962,32351,-2556.467893515658
MJ,Justicia,F,Abogada,33,59109,98023,575.8969316279139
SALUD,Medicina,M,Fisioterapeuta,18,50256,39461,-2254.9996792882753
CODEPESCA,Pesca,F,Ingeniero,17,37634,58007,270.7452389771903
UASD,Educación,M,Profesor,1,39928,28034,-2577.747978216943
MOPC,Infraestructura,F,Arquitecto,33,35893,72441,573.154375742077
MJ,Justicia,M,Abogada,35,33745,52629,-1935.4219290079523
SALUD,Medicina,F,Fisioterapeuta,17,57758,39837,273.122530269686
CODEPESCA,Pesca,M,Ingeniero,26,45870,29413,-2104.2104044627176
UASD,Educación,F,Profesor,31,58621,57864,538.012432537259
MOPC,Infraestructura,M,Arquitecto,29,55379,30014,-2046.3468099872284
MJ,Justicia,F,Abogada,14,54964,53532,216.052193150046
SALUD,Medicina,M,Fisioterapeuta,12,36329,37534,-2370.12545748741
CODEPESCA,Pesca,F,Ingeniero,26,45968,20101,441.95057999313485
UASD,Educación,M,Profesor,22,35247,48182,-2181.119023449966
MOPC,Infraestructura,F,Arquitecto,5,43847,25232,44.5180903736653
MJ,Justicia,M,Abogada,18,33756,26319,-2256.9488596861174
SALUD,Medicina,F,Fisioterapeuta,24,31065,43106,402.3632060276376
