Institucion,Area,Sexo,Cargo,Tiempo_Trabajo_Anios,Sueldo_Promedio_Institucion,Sueldo_Bruto,Predicciones
SALUD,Medicina,M,Fisioterapeuta,34,59668,90280,288.4287248754942
CODEPESCA,Pesca,F,Ingeniero,16,39940,36517,140.08374027249377
UASD,Educación,M,Profesor,9,36093,44431,63.132083011279825
MOPC,Infraestructura,F,Arquitecto,11,47535,82269,98.81163004803767
MJ,Justicia,M,Abogada,4,30011,95457,17.632312042774952
SALUD,Medicina,F,Fisioterapeuta,23,53037,99251,205.1655964721311
CODEPESCA,Pesca,M,Ingeniero,24,43270,58684,196.16862686048694
UASD,Educación,F,Profesor,23,48767,83418,203.85216802444813
MOPC,Infraestructura,M,Arquitecto,24,45214,78938,196.7665905378396
MJ,Justicia,F,Abogada,29,51271,45299,256.9531753988889
SALUD,Medicina,M,Fisioterapeuta,30,54427,83749,251.93101434006024
CODEPESCA,Pesca,F,Ingeniero,39,50692,69162,343.99306283571104
UASD,Educación,M,Profesor,13,30884,70770,96.41443905469217
MOPC,Infraestructura,F,Arquitecto,39,50301,45507,343.8727933923753
MJ,Justicia,M,Abogada,8,50749,23112,58.918303178494554
SALUD,Medicina,F,Fisioterapeuta,8,48904,44763,73.0673521500184
CODEPESCA,Pesca,M,Ingeniero,31,54780,68230,260.7612820871159
UASD,Educación,F,Profesor,15,30353,57670,128.40859659391734
MOPC,Infraestructura,M,Arquitecto,31,38497,33754,255.75221905876828
MJ,Justicia,F,Abogada,1,54958,74145,13.859954769426091
SALUD,Medicina,M,Fisioterapeuta,14,44452,78176,109.31421889765838
CODEPESCA,Pesca,F,Ingeniero,33,55769,93576,293.2232762601646
UASD,Educación,M,Profesor,10,32478,49654,70.73997261031502
MOPC,Infraestructura,F,Arquitecto,3,43428,46513,27.776749154086325
MJ,Justicia,M,Abogada,28,38504,99907,229.58897667421246
SALUD,Medicina,F,Fisioterapeuta,10,51510,82106,91.31388693822464
CODEPESCA,Pesca,M,Ingeniero,4,58056,90572,26.278563901141716
UASD,Educación,F,Profesor,34,39839,42494,297.0450142647265
MOPC,Infraestructura,M,Arquitecto,31,56408,89667,261.2615613200383
MJ,Justicia,F,Abogada,28,53073,32533,248.78566219516068
SALUD,Medicina,M,Fisioterapeuta,32,58616,21727,270.66186467954554
CODEPESCA,Pesca,F,Ingeniero,38,56712,88066,337.1220170043728
UASD,Educación,M,Profesor,23,57748,46959,191.89900332755428
MOPC,Infraestructura,F,Arquitecto,22,51355,51630,195.92642408532856
MJ,Justicia,M,Abogada,6,35150,58859,36.67588562020881
SALUD,Medicina,F,Fisioterapeuta,28,46561,81447,246.7826069138231
CODEPESCA,Pesca,M,Ingeniero,31,45620,32560,257.9440631486749
UASD,Educación,F,Profesor,32,40008,44139,279.6534532150219
MOPC,Infraestructura,M,Arquitecto,19,54388,99235,155.97931812205096
MJ,Justicia,F,Abogada,25,53158,33403,222.6464123333624
SALUD,Medicina,M,Fisioterapeuta,39,45286,29567,327.6157143054959
CODEPESCA,Pesca,F,Ingeniero,25,40778,89319,218.83795051377658
