Institucion,Area,Sexo,Cargo,Tiempo_Trabajo_Anios,Sueldo_Promedio_Institucion,Sueldo_Bruto,Predicciones
SALUD,Medicina,M,Fisioterapeuta,34,59668,90280,-1950.9596651297488
CODEPESCA,Pesca,F,Ingeniero,16,39940,36517,254.9138065234834
UASD,Educación,M,Profesor,9,36093,44431,-2428.5949339576814
MOPC,Infraestructura,F,Arquitecto,11,47535,82269,160.84091020961472
MJ,Justicia,M,Abogada,4,30011,95457,-2524.2834688960133
SALUD,Medicina,F,Fisioterapeuta,23,53037,99251,389.41904221824177
CODEPESCA,Pesca,M,Ingeniero,24,43270,58684,-2142.836889567792
UASD,Educación,F,Profesor,23,48767,83418,388.91463504368164
MOPC,Infraestructura,M,Arquitecto,24,45214,78938,-2142.6072484560013
MJ,Justicia,F,Abogada,29,51271,45299,503.1745233964457
SALUD,Medicina,M,Fisioterapeuta,30,54427,83749,-2027.554838385644
CODEPESCA,Pesca,F,Ingeniero,39,50692,69162,693.0462863350724
UASD,Educación,M,Profesor,13,30884,70770,-2353.234199805803
MOPC,Infraestructura,F,Arquitecto,39,50301,45507,693.0000982307977
MJ,Justicia,M,Abogada,8,50749,23112,-2445.8576637937113
SALUD,Medicina,F,Fisioterapeuta,8,48904,44763,104.02057989846037
CODEPESCA,Pesca,M,Ingeniero,31,54780,68230,-2008.5191232374427
UASD,Educación,F,Profesor,15,30353,57670,234.78729609427765
MOPC,Infraestructura,M,Arquitecto,31,38497,33754,-2010.4426038049746
MJ,Justicia,F,Abogada,1,54958,74145,-28.222383711988698
SALUD,Medicina,M,Fisioterapeuta,14,44452,78176,-2332.637421235632
CODEPESCA,Pesca,F,Ingeniero,33,55769,93576,579.6819274414045
UASD,Educación,M,Profesor,10,32478,49654,-2410.0279512845746
MOPC,Infraestructura,F,Arquitecto,3,43428,46513,8.403630615346913
MJ,Justicia,M,Abogada,28,38504,99907,-2067.423824648155
SALUD,Medicina,F,Fisioterapeuta,10,51510,82106,142.316453668321
CODEPESCA,Pesca,M,Ingeniero,4,58056,90572,-2520.9705650996343
UASD,Educación,F,Profesor,34,39839,42494,596.7941620220737
MOPC,Infraestructura,M,Arquitecto,31,56408,89667,-2008.3268106191326
MJ,Justicia,F,Abogada,28,53073,32533,484.3933743984028
SALUD,Medicina,M,Fisioterapeuta,32,58616,21727,-1989.07196776395
