Institucion,Area,Sexo,Cargo,Tiempo_Trabajo_Anios,Sueldo_Promedio_Institucion,Sueldo_Bruto,Predicciones
SALUD,Medicina,M,Fisioterapeuta,34,59668,90280,-1950.600527563698
CODEPESCA,Pesca,F,Ingeniero,16,39940,36517,253.19610913611177
UASD,Educación,M,Profesor,9,36093,44431,-2428.253928736118
MOPC,Infraestructura,F,Arquitecto,11,47535,82269,159.11961602394513
MJ,Justicia,M,Abogada,4,30011,95457,-2523.946093438206
SALUD,Medicina,F,Fisioterapeuta,23,53037,99251,387.7064375445334
CODEPESCA,Pesca,M,Ingeniero,24,43270,58684,-2142.485021734397
UASD,Educación,F,Profesor,23,48767,83418,387.20202007805943
MOPC,Infraestructura,M,Arquitecto,24,45214,78938,-2142.255375937014
MJ,Justicia,F,Abogada,29,51271,45299,501.46625259146384
SALUD,Medicina,M,Fisioterapeuta,30,54427,83749,-2027.1986055354187
CODEPESCA,Pesca,F,Ingeniero,39,50692,69162,691.3452443433503
UASD,Educación,M,Profesor,13,30884,70770,-2352.890315055885
MOPC,Infraestructura,F,Arquitecto,39,50301,45507,691.2990552966544
MJ,Justicia,M,Abogada,8,50749,23112,-2445.5173462679027
SALUD,Medicina,F,Fisioterapeuta,8,48904,44763,102.29711994982563
CODEPESCA,Pesca,M,Ingeniero,31,54780,68230,-2008.1621665155053
UASD,Educación,F,Profesor,15,30353,57670,233.06885257862916
MOPC,Infraestructura,M,Arquitecto,31,38497,33754,-2010.0856863296967
MJ,Justicia,F,Abogada,1,54958,74145,-29.95089021493243
SALUD,Medicina,M,Fisioterapeuta,14,44452,78176,-2332.292780762095
CODEPESCA,Pesca,F,Ingeniero,33,55769,93576,577.9765595614072
UASD,Educación,M,Profesor,10,32478,49654,-2409.6862317553073
MOPC,Infraestructura,F,Arquitecto,3,43428,46513,6.676542363588283
MJ,Justicia,M,Abogada,28,38504,99907,-2067.069076218649
SALUD,Medicina,F,Fisioterapeuta,10,51510,82106,140.59444604264996
CODEPESCA,Pesca,M,Ingeniero,4,58056,90572,-2520.6331220454044
UASD,Educación,F,Profesor,34,39839,42494,595.0894787671291
MOPC,Infraestructura,M,Arquitecto,31,56408,89667,-2007.9698499732526
MJ,Justicia,F,Abogada,28,53073,32533,482.6843849158718
SALUD,Medicina,M,Fisioterapeuta,32,58616,21727,-1988.714278775281
CODEPESCA,Pesca,F,Ingeniero,38,56712,88066,673.0616513454133
UASD,Educación,M,Profesor,23,57748,46959,-2159.769466504831
MOPC,Infraestructura,F,Arquitecto,22,51355,51630,368.5130030180759
MJ,Justicia,M,Abogada,6,35150,58859,-2485.3495426515697
SALUD,Medicina,F,Fisioterapeuta,28,46561,81447,481.9151187468604
CODEPESCA,Pesca,M,Ingeniero,31,45620,32560,-2009.2442423920634
UASD,Educación,F,Profesor,32,40008,44139,557.1199649622358
MOPC,Infraestructura,M,Arquitecto,19,54388,99235,-2236.1453409040837
MJ,Justicia,F,Abogada,25,53158,33403,425.71020921014747
SALUD,Medicina,M,Fisioterapeuta,39,45286,29567,-1857.3257865229502
CODEPESCA,Pesca,F,Ingeniero,25,40778,89319,424.2477529490355
UASD,Educación,M,Profesor,16,33325,56804,-2295.6177415702277
MOPC,Infraestructura,F,Arquitecto,33,59952,52693,578.4706996696649
MJ,Justicia,M,Abogada,31,53010,67317,-2008.371257596456
SALUD,Medicina,F,Fisioterapeuta,7,36514,67860,81.83874344889415
CODEPESCA,Pesca,M,Ingeniero,23,56863,71230,-2159.8740120453062
UASD,Educación,F,Profesor,25,36284,69239,423.71687423841854
MOPC,Infraestructura,M,Arquitecto,28,55142,67817,-2065.1036200577137
MJ,Justicia,F,Abogada,24,46328,60440,405.9086385906201
SALUD,Medicina,M,Fisioterapeuta,12,31874,69224,-2371.7681047414953
CODEPESCA,Pesca,F,Ingeniero,5,56655,99882,46.2285330726703
UASD,Educación,M,Profesor,37,30449,64801,-1897.0679674243092
MOPC,Infraestructura,F,Arquitecto,7,40803,96660,82.34540539589818
MJ,Justicia,M,Abogada,37,59061,24619,-1893.688016007271
SALUD,Medicina,F,Fisioterapeuta,34,40978,26868,595.2240294683736
CODEPESCA,Pesca,M,Ingeniero,14,51839,24227,-2331.4201503581503
UASD,Educación,F,Profesor,22,37194,82007,366.840156239917
MOPC,Infraestructura,M,Arquitecto,21,39885,62143,-2199.8691104632276
MJ,Justicia,F,Abogada,29,46021,86036,500.84606718186467
SALUD,Medicina,M,Fisioterapeuta,6,50372,63632,-2483.551359355394
CODEPESCA,Pesca,F,Ingeniero,15,52185,76293,235.64787883812812
UASD,Educación,M,Profesor,1,44655,99919,-2579.200406405196
MOPC,Infraestructura,F,Arquitecto,27,42226,48510,462.40828386008536
MJ,Justicia,M,Abogada,38,50826,40160,-1875.6660821869077
SALUD,Medicina,F,Fisioterapeuta,20,33263,54713,328.38630716276526
CODEPESCA,Pesca,M,Ingeniero,34,54524,66074,-1951.2081911345508
UASD,Educación,F,Profesor,7,59287,24475,84.52893055990415
MOPC,Infraestructura,M,Arquitecto,7,48919,54175,-2464.7282641163833
MJ,Justicia,F,Abogada,31,46376,25040,538.8774813971637
SALUD,Medicina,M,Fisioterapeuta,12,43870,88783,-2370.3510106131994
CODEPESCA,Pesca,F,Ingeniero,5,37347,56028,43.94766833199583
UASD,Educación,M,Profesor,4,45449,63302,-2522.1223939423217
MOPC,Infraestructura,F,Arquitecto,30,37697,31364,518.8574873829032
MJ,Justicia,M,Abogada,7,33505,75304,-2466.5491284789664
SALUD,Medicina,F,Fisioterapeuta,19,40128,97253,310.2025344831352
CODEPESCA,Pesca,M,Ingeniero,8,42570,52628,-2446.483536070781
UASD,Educación,F,Profesor,16,52489,86806,254.67852946088516
MOPC,Infraestructura,M,Arquitecto,4,46030,56218,-2522.0537600903263
MJ,Justicia,F,Abogada,11,34258,45356,157.55119665570732
SALUD,Medicina,M,Fisioterapeuta,12,43998,96540,-2370.3358899022605
CODEPESCA,Pesca,F,Ingeniero,35,38450,87418,613.9201343616097
UASD,Educación,M,Profesor,33,31869,63728,-1972.8791777744414
MOPC,Infraestructura,F,Arquitecto,3,38960,94776,6.1487350473807965
MJ,Justicia,M,Abogada,2,42300,59728,-2560.483864926082
SALUD,Medicina,F,Fisioterapeuta,21,32363,32841,347.27472859825417
CODEPESCA,Pesca,M,Ingeniero,10,48639,38931,-2407.7771238687296
UASD,Educación,F,Profesor,28,36449,72717,480.7205825826952
MOPC,Infraestructura,M,Arquitecto,28,53260,72437,-2065.325941760736
MJ,Justicia,F,Abogada,26,50802,89339,444.4266325587076
SALUD,Medicina,M,Fisioterapeuta,29,59743,87917,-2045.565362443519
CODEPESCA,Pesca,F,Ingeniero,13,41786,77812,196.42996133635017
UASD,Educación,M,Profesor,24,53190,45092,-2141.31316663664
MOPC,Infraestructura,F,Arquitecto,2,53815,72363,-11.091174504116339
MJ,Justicia,M,Abogada,12,32884,45078,-2371.6487928817437
SALUD,Medicina,F,Fisioterapeuta,11,36270,59640,157.78887533077653
CODEPESCA,Pesca,M,Ingeniero,32,39261,31531,-1991.0006956520033
UASD,Educación,F,Profesor,38,33785,53512,670.3532721290551
MOPC,Infraestructura,M,Arquitecto,3,30687,71627,-2542.860976117838
MJ,Justicia,F,Abogada,32,51242,25497,558.4470436082238
SALUD,Medicina,M,Fisioterapeuta,9,50275,67757,-2426.5786012163207
CODEPESCA,Pesca,F,Ingeniero,39,43164,86568,690.4559575312621
UASD,Educación,M,Profesor,39,45813,57107,-1857.263531720882
MOPC,Infraestructura,F,Arquitecto,34,49999,44792,596.2896851978963
MJ,Justicia,M,Abogada,24,57806,47045,-2140.7678759984096
SALUD,Medicina,F,Fisioterapeuta,24,35895,26655,404.6761825185538
CODEPESCA,Pesca,M,Ingeniero,4,58312,62733,-2520.6028806235267
UASD,Educación,F,Profesor,39,38301,66069,689.8814886461419
MOPC,Infraestructura,M,Arquitecto,38,56250,84712,-1875.025342060876
MJ,Justicia,F,Abogada,21,53961,27511,349.82611230806816
SALUD,Medicina,M,Fisioterapeuta,9,55717,70439,-2425.9357347403134
CODEPESCA,Pesca,F,Ingeniero,7,52016,32619,83.67000330024786
UASD,Educación,M,Profesor,6,58006,88493,-2482.64955070456
MOPC,Infraestructura,F,Arquitecto,19,37643,22479,309.9089800559249
MJ,Justicia,M,Abogada,8,48400,57690,-2445.7948349397407
SALUD,Medicina,F,Fisioterapeuta,31,57928,31725,540.2421255593904
CODEPESCA,Pesca,M,Ingeniero,29,44081,32108,-2047.4155231835462
UASD,Educación,F,Profesor,31,52304,46512,539.5777593225168
MOPC,Infraestructura,M,Arquitecto,33,51507,79855,-1970.5593299508778
MJ,Justicia,F,Abogada,9,33572,48238,119.48068122696492
SALUD,Medicina,M,Fisioterapeuta,30,31248,84529,-2029.9367536514378
CODEPESCA,Pesca,F,Ingeniero,8,56652,95173,103.21239548383983
UASD,Educación,M,Profesor,17,45612,22288,-2275.17153251638
MOPC,Infraestructura,F,Arquitecto,13,59754,52276,198.55253113438414
MJ,Justicia,M,Abogada,20,49639,66118,-2217.7116039717466
SALUD,Medicina,F,Fisioterapeuta,31,41939,68862,538.3533361281368
CODEPESCA,Pesca,M,Ingeniero,36,53637,62654,-1913.3234950675796
UASD,Educación,F,Profesor,8,52236,79082,102.6907309564512
MOPC,Infraestructura,M,Arquitecto,3,55328,38509,-2539.950121131565
MJ,Justicia,F,Abogada,8,58669,88452,103.4506648116801
SALUD,Medicina,M,Fisioterapeuta,29,56182,67349,-2045.9860253470588
CODEPESCA,Pesca,F,Ingeniero,15,57039,95602,236.22128454826043
UASD,Educación,M,Profesor,19,48299,78309,-2236.8646378486646
MOPC,Infraestructura,F,Arquitecto,39,38632,63080,689.9205898595852
MJ,Justicia,M,Abogada,6,48356,41806,-2483.7895105526804
SALUD,Medicina,F,Fisioterapeuta,8,56790,47098,103.22869750032072
