Institucion,Area,Sexo,Cargo,Tiempo_Trabajo_Anios,Sueldo_Promedio_Institucion,Sueldo_Bruto,Predicciones
SALUD,Medicina,M,Fisioterapeuta,34,59668,90280,25266.83745154981
CODEPESCA,Pesca,F,Ingeniero,16,39940,36517,25266.83745154981
UASD,Educación,M,Profesor,9,36093,44431,25266.83745154981
MOPC,Infraestructura,F,Arquitecto,11,47535,82269,25266.83745154981
MJ,Justicia,M,Abogada,4,30011,95457,25266.83745154981
SALUD,Medicina,F,Fisioterapeuta,23,53037,99251,25266.83745154981
CODEPESCA,Pesca,M,Ingeniero,24,43270,58684,25266.83745154981
UASD,Educación,F,Profesor,23,48767,83418,25266.83745154981
MOPC,Infraestructura,M,Arquitecto,24,45214,78938,25266.83745154981
MJ,Justicia,F,Abogada,29,51271,45299,25266.83745154981
SALUD,Medicina,M,Fisioterapeuta,30,54427,83749,25266.83745154981
CODEPESCA,Pesca,F,Ingeniero,39,50692,69162,25266.83745154981
UASD,Educación,M,Profesor,13,30884,70770,25266.83745154981
MOPC,Infraestructura,F,Arquitecto,39,50301,45507,25266.83745154981
MJ,Justicia,M,Abogada,8,50749,23112,25266.83745154981
SALUD,Medicina,F,Fisioterapeuta,8,48904,44763,25266.83745154981
CODEPESCA,Pesca,M,Ingeniero,31,54780,68230,25266.83745154981
UASD,Educación,F,Profesor,15,30353,57670,25266.83745154981
MOPC,Infraestructura,M,Arquitecto,31,38497,33754,25266.83745154981
MJ,Justicia,F,Abogada,1,54958,74145,25266.83745154981
SALUD,Medicina,M,Fisioterapeuta,14,44452,78176,25266.83745154981
CODEPESCA,Pesca,F,Ingeniero,33,55769,93576,25266.83745154981
UASD,Educación,M,Profesor,10,32478,49654,25266.83745154981
MOPC,Infraestructura,F,Arquitecto,3,43428,46513,25266.83745154981
MJ,Justicia,M,Abogada,28,38504,99907,25266.83745154981
SALUD,Medicina,F,Fisioterapeuta,10,51510,82106,25266.83745154981
CODEPESCA,Pesca,M,Ingeniero,4,58056,90572,25266.83745154981
UASD,Educación,F,Profesor,34,39839,42494,25266.83745154981
MOPC,Infraestructura,M,Arquitecto,31,56408,89667,25266.83745154981
MJ,Justicia,F,Abogada,28,53073,32533,25266.83745154981
SALUD,Medicina,M,Fisioterapeuta,32,58616,21727,25266.83745154981
CODEPESCA,Pesca,F,Ingeniero,38,56712,88066,25266.83745154981
UASD,Educación,M,Profesor,23,57748,46959,25266.83745154981
MOPC,Infraestructura,F,Arquitecto,22,51355,51630,25266.83745154981
MJ,Justicia,M,Abogada,6,35150,58859,25266.83745154981
SALUD,Medicina,F,Fisioterapeuta,28,46561,81447,25266.83745154981
CODEPESCA,Pesca,M,Ingeniero,31,45620,32560,25266.83745154981
UASD,Educación,F,Profesor,32,40008,44139,25266.83745154981
MOPC,Infraestructura,M,Arquitecto,19,54388,99235,25266.83745154981
MJ,Justicia,F,Abogada,25,53158,33403,25266.83745154981
SALUD,Medicina,M,Fisioterapeuta,39,45286,29567,25266.83745154981
CODEPESCA,Pesca,F,Ingeniero,25,40778,89319,25266.83745154981
UASD,Educación,M,Profesor,16,33325,56804,25266.83745154981
MOPC,Infraestructura,F,Arquitecto,33,59952,52693,25266.83745154981
MJ,Justicia,M,Abogada,31,53010,67317,25266.83745154981
SALUD,Medicina,F,Fisioterapeuta,7,36514,67860,25266.83745154981
